,ctrl_Prom1,ctrl_Prom2,ctrl_Rep,ctrl_Neu,ctrl_Alt,treated_Prom1,treated_Prom2,treated_Rep,treated_Neu
Bphl,1,1,0,0,0,1,0,0,0
Mitf,1,0,1,0,0,1,0,1,0
Nop56,1,0,1,0,0,1,0,1,0
Jun,1,1,1,1,1,0,0,0,0
Sqle,1,0,1,0,0,1,1,1,0
Dtl,1,0,1,0,0,0,0,1,0
Il4,1,1,1,1,1,0,0,0,0
E2f7,1,1,0,1,1,1,1,0,1
Fbxo5,1,0,1,0,0,1,0,1,0
Dmkn,1,0,1,0,0,1,0,1,0
Mcm3,1,0,1,0,0,0,0,1,0
Fasn,1,0,1,0,0,0,0,1,0
Hspd1,1,0,1,0,0,0,0,1,0
Top2a,1,0,1,0,0,1,0,1,0
Irf1,1,1,0,1,1,1,1,0,1
Exosc8,1,0,1,0,0,0,0,1,0
